STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,REPORT_TYPE_FM-16,HOUR
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,19
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.131362865,-2.350304123,-0.796558051,-1.414047169,0.707846067,-1.098068196,1,0,0,20
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,20
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,20
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.142471654,-2.350304123,-0.809645746,-1.413929114,0.643564119,-1.098068196,1,0,0,21
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,21
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.089653726,0,1,0,21
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.142471654,-2.350304123,-0.809645746,-1.413811059,0.515000224,-1.089653726,1,0,0,22
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.089653726,0,1,0,22
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.089653726,0,1,0,22
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.153580444,-2.350304123,-0.822733441,-1.413811059,0.515000224,-1.072824786,1,0,0,23
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.072824786,0,1,0,23
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,-1.542022107,-0.997094556,0,1,0,23
