STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,HOUR
0.00,0.00,0.00,0.00,0.00,0.00,-0.69,0.33,-0.39,-1.41,-1.89,-0.78,1.00,0.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.46,-1.41,-1.89,-0.82,1.00,0.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,-1.89,-0.82,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.90,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.33,-0.22,-1.41,-1.89,-0.93,1.00,0.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.15,0.71,-1.89,-0.93,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.93,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.71,0.33,-0.36,-1.41,-1.89,-0.90,1.00,0.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.89,0.00,1.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,-1.89,-0.90,0.00,1.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.62,0.33,-0.22,-1.41,-1.89,-0.90,1.00,0.00,22.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.88,0.00,1.00,22.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.15,0.71,-1.89,-0.82,0.00,1.00,22.00
